@timestamp,message,event.action,event.button_name,event.customer_id,event.api_endpoint,event.status,event.response_time,hit_time_gmt,post_visid_high,post_visid_low,visit_num,page_name,page_url,event_list,events,evar1,prop1,prop2,time_spent
2024-05-18 09:00:00+00:00,Agent agent18 viewed plan features for customer 10000.,api_call,,10000,/api/plans & perks/perks/redeem/20366,success,196,2024-05-18 08:59:02+00:00,2212042405,9472697874,5,Redeem Perks,/plans & perks/Redeem-Perks/10000,1,event5,agent01,Plans & Perks,Redeem Perks,44
2024-05-18 09:00:00+00:00,Agent agent12 updated security settings for customer 10001.,api_call,,10001,/api/account/close/88366,failed,437,2024-05-18 08:59:12+00:00,8662169815,6026482981,2,Customer Dashboard,/billing/Customer-Dashboard/10001,1,event7,agent04,Billing,Customer Dashboard,244
2024-05-18 09:00:00+00:00,Agent agent09 checked device compatibility for customer 10002.,api_call,,10002,/api/upgrades/upgrade/device/34220,failed,58,2024-05-18 08:59:52+00:00,1256759824,1531945350,4,Account Overview,/account/Account-Overview/10002,1,event1,agent12,Account,Account Overview,45
2024-05-18 09:00:00+00:00,Agent agent14 activated international calling for customer 10003.,api_call,activated_international_calling,10003,/api/account/update/profile/95050,failed,274,2024-05-18 08:59:39+00:00,5669244691,3352632430,3,Network Usage History,/network/Network-Usage-History/10003,,,agent14,Network,Network Usage History,122
2024-05-18 09:00:00+00:00,Agent agent09 viewed troubleshooting guide for customer 10004.,api_call,,10004,/api/network/outage/status/82812,success,490,2024-05-18 08:59:10+00:00,4341882596,9945522191,5,Firmware Update,/device/Firmware-Update/10004,1,event8,agent06,Device,Firmware Update,123
2024-05-18 09:00:00+00:00,Agent agent14 compared plans for customer 10005.,api_call,,10005,/api/plans & perks/perks/redeem/66827,failed,105,2024-05-18 08:59:49+00:00,3630193469,6283359605,4,Customer Dashboard,/billing/Customer-Dashboard/10005,1,event9,agent19,Billing,Customer Dashboard,86
2024-05-18 09:00:00+00:00,Agent agent08 updated billing address for customer 10006.,api_call,updated_billing_address,10006,/api/billing/update/address/15155,failed,265,2024-05-18 08:59:44+00:00,1070853428,2283862406,2,Network Optimization Settings,/network/Network-Optimization-Settings/10006,1,event2,agent09,Network,Network Optimization Settings,114
2024-05-18 09:00:00+00:00,Agent agent08 rebooted device for customer 10007.,api_call,rebooted_device,10007,/api/device/replacement/request/70770,failed,372,2024-05-18 08:59:53+00:00,4644172257,4961866372,2,Upgrade Device,/upgrades/Upgrade-Device/10007,1,event9,agent14,Upgrades,Upgrade Device,192
2024-05-18 09:00:00+00:00,Agent agent20 updated email address for customer 10008.,api_call,,10008,/api/account/update/notifications/19827,failed,305,2024-05-18 08:59:58+00:00,1060996729,3848059845,2,International Roaming Charges,/billing/International-Roaming-Charges/10008,1,event1,agent10,Billing,International Roaming Charges,152
2024-05-18 09:00:00+00:00,Agent agent13 added roaming package for customer 10009.,api_call,added_roaming_package,10009,/api/billing/dispute/71738,failed,220,2024-05-18 08:59:48+00:00,4524035479,7762069605,2,Upgrade Device,/upgrades/Upgrade-Device/10009,1,event5,agent20,Upgrades,Upgrade Device,272
2024-05-18 09:00:00+00:00,Agent agent04 checked upgrade eligibility for customer 10010.,api_call,,10010,/api/upgrades/upgrade/checkEligibility/54588,failed,52,2024-05-18 08:59:13+00:00,7334691554,9691499507,4,Upgrade Plan,/upgrades/Upgrade-Plan/10010,,,agent11,Upgrades,Upgrade Plan,98
