hit_time_gmt,post_visid_high,post_visid_low,visit_num,page_name,page_url,event_list,events,evar1,prop1,prop2,event.customer_id,time_spent
2024-05-18 08:59:00+00:00,3375874609,1104764734,4,Network Diagnostics,/network/Network-Diagnostics/10017,1,event4,agent05,Network,Network Diagnostics,10017,92
2024-05-18 08:59:00+00:00,4124185233,4962338791,4,Invoice Details,/billing/Invoice-Details/10021,,,agent05,Billing,Invoice Details,10021,153
2024-05-18 08:59:00+00:00,5183254567,7715942195,3,Payment Options,/billing/Payment-Options/10069,,,agent16,Billing,Payment Options,10069,72
2024-05-18 08:59:00+00:00,1459218014,2277296376,3,Network Diagnostics,/network/Network-Diagnostics/10073,1,event8,agent10,Network,Network Diagnostics,10073,238
2024-05-18 08:59:00+00:00,3083898018,6732268601,5,Account Closure,/account/Account-Closure/10089,1,event4,agent09,Account,Account Closure,10089,298
2024-05-18 08:59:00+00:00,5580035074,7664061192,4,Eligibility Check,/upgrades/Eligibility-Check/10113,,,agent05,Upgrades,Eligibility Check,10113,284
2024-05-18 08:59:00+00:00,1873342811,6411568226,1,Upgrade Device,/upgrades/Upgrade-Device/10173,1,event4,agent04,Upgrades,Upgrade Device,10173,105
2024-05-18 08:59:00+00:00,1776007046,1746358269,2,Redeem Perks,/plans & perks/Redeem-Perks/10196,,,agent04,Plans & Perks,Redeem Perks,10196,265
2024-05-18 08:59:00+00:00,3590101611,7575729951,2,Phone Upgrade Options,/device/Phone-Upgrade-Options/10222,,,agent04,Device,Phone Upgrade Options,10222,177
2024-05-18 08:59:00+00:00,2213698249,8926779021,2,Redeem Perks,/plans & perks/Redeem-Perks/10303,,,agent18,Plans & Perks,Redeem Perks,10303,173
2024-05-18 08:59:01+00:00,8350264861,2325741433,4,Update Contact Information,/account/Update-Contact-Information/10061,,,agent09,Account,Update Contact Information,10061,145
2024-05-18 08:59:01+00:00,7705539709,4597038886,4,Firmware Update,/device/Firmware-Update/10117,,,agent07,Device,Firmware Update,10117,41
2024-05-18 08:59:01+00:00,7456724873,4937694571,4,Troubleshooting Guide,/device/Troubleshooting-Guide/10226,1,event9,agent17,Device,Troubleshooting Guide,10226,80
2024-05-18 08:59:01+00:00,4501514343,1469073294,4,Compare Plans,/plans & perks/Compare-Plans/10470,1,event8,agent01,Plans & Perks,Compare Plans,10470,101
2024-05-18 08:59:02+00:00,2212042405,9472697874,5,Redeem Perks,/plans & perks/Redeem-Perks/10000,1,event5,agent01,Plans & Perks,Redeem Perks,10000,44
